id,Precio_cat
4820,4
4821,2
4822,2
4823,3
4824,2
4825,1
4826,3
4827,4
4828,3
4829,3
4830,3
4831,3
4832,1
4833,3
4834,3
4835,3
4836,1
4837,4
4838,4
4839,1
4840,1
4841,1
4842,1
4843,3
4844,2
4845,3
4846,4
4847,3
4848,3
4849,3
4850,3
4851,3
4852,3
4853,4
4854,3
4855,3
4856,4
4857,1
4858,3
4859,1
4860,3
4861,3
4862,4
4863,2
4864,2
4865,3
4866,3
4867,3
4868,3
4869,4
4870,2
4871,3
4872,3
4873,1
4874,2
4875,1
4876,4
4877,1
4878,2
4879,1
4880,3
4881,2
4882,3
4883,1
4884,2
4885,1
4886,3
4887,2
4888,3
4889,4
4890,3
4891,3
4892,3
4893,3
4894,3
4895,4
4896,3
4897,3
4898,3
4899,3
4900,3
4901,3
4902,2
4903,3
4904,2
4905,2
4906,4
4907,2
4908,3
4909,2
4910,3
4911,3
4912,3
4913,1
4914,3
4915,1
4916,4
4917,4
4918,2
4919,1
4920,3
4921,3
4922,3
4923,4
4924,3
4925,4
4926,1
4927,3
4928,3
4929,1
4930,4
4931,1
4932,1
4933,1
4934,4
4935,4
4936,4
4937,3
4938,1
4939,3
4940,3
4941,3
4942,3
4943,4
4944,3
4945,3
4946,1
4947,2
4948,1
4949,3
4950,2
4951,2
4952,4
4953,4
4954,2
4955,2
4956,1
4957,1
4958,3
4959,3
4960,3
4961,2
4962,2
4963,4
4964,3
4965,1
4966,4
4967,2
4968,3
4969,3
4970,4
4971,3
4972,4
4973,3
4974,4
4975,3
4976,4
4977,4
4978,4
4979,2
4980,4
4981,2
4982,2
4983,3
4984,3
4985,3
4986,3
4987,2
4988,1
4989,1
4990,4
4991,1
4992,1
4993,4
4994,2
4995,3
4996,4
4997,4
4998,2
4999,2
5000,4
5001,4
5002,3
5003,4
5004,3
5005,2
5006,4
5007,3
5008,4
5009,4
5010,3
5011,3
5012,3
5013,3
5014,3
5015,4
5016,3
5017,3
5018,3
5019,4
5020,4
5021,1
5022,4
5023,1
5024,1
5025,3
5026,3
5027,1
5028,3
5029,1
5030,3
5031,4
5032,1
5033,4
5034,3
5035,3
5036,2
5037,4
5038,2
5039,4
5040,2
5041,4
5042,3
5043,1
5044,2
5045,3
5046,3
5047,3
5048,1
5049,3
5050,3
5051,4
5052,4
5053,4
5054,3
5055,2
5056,4
5057,3
5058,3
5059,4
5060,3
5061,3
5062,1
5063,3
5064,2
5065,2
5066,3
5067,3
5068,4
5069,3
5070,2
5071,3
5072,4
5073,3
5074,4
5075,3
5076,3
5077,2
5078,4
5079,3
5080,2
5081,4
5082,2
5083,1
5084,2
5085,2
5086,4
5087,3
5088,3
5089,2
5090,1
5091,1
5092,3
5093,1
5094,3
5095,2
5096,3
5097,3
5098,4
5099,1
5100,4
5101,3
5102,3
5103,4
5104,3
5105,3
5106,1
5107,2
5108,4
5109,2
5110,1
5111,1
5112,3
5113,3
5114,2
5115,3
5116,3
5117,3
5118,3
5119,3
5120,1
5121,3
5122,2
5123,3
5124,3
5125,3
5126,2
5127,3
5128,3
5129,4
5130,3
5131,4
5132,4
5133,4
5134,2
5135,3
5136,2
5137,3
5138,1
5139,3
5140,3
5141,3
5142,1
5143,3
5144,3
5145,3
5146,3
5147,1
5148,4
5149,4
5150,3
5151,4
5152,2
5153,4
5154,3
5155,1
5156,3
5157,3
5158,3
5159,2
5160,3
5161,4
5162,3
5163,1
5164,3
5165,2
5166,1
5167,1
5168,3
5169,3
5170,3
5171,4
5172,1
5173,4
5174,2
5175,4
5176,2
5177,3
5178,3
5179,4
5180,3
5181,3
5182,1
5183,1
5184,3
5185,3
5186,4
5187,3
5188,3
5189,2
5190,4
5191,2
5192,3
5193,3
5194,3
5195,3
5196,2
5197,2
5198,3
5199,3
5200,3
5201,1
5202,3
5203,3
5204,3
5205,4
5206,1
5207,3
5208,3
5209,1
5210,4
5211,2
5212,4
5213,2
5214,4
5215,4
5216,3
5217,3
5218,3
5219,3
5220,4
5221,4
5222,2
5223,3
5224,3
5225,2
5226,4
5227,1
5228,3
5229,4
5230,4
5231,4
5232,3
5233,2
5234,3
5235,1
5236,1
5237,2
5238,1
5239,3
5240,1
5241,3
5242,1
5243,4
5244,4
5245,2
5246,2
5247,4
5248,3
5249,3
5250,3
5251,3
5252,1
5253,3
5254,3
5255,3
5256,3
5257,3
5258,3
5259,3
5260,4
5261,4
5262,3
5263,2
5264,3
5265,2
5266,2
5267,2
5268,3
5269,3
5270,3
5271,3
5272,3
5273,2
5274,4
5275,3
5276,4
5277,4
5278,1
5279,3
5280,3
5281,4
5282,4
5283,3
5284,4
5285,4
5286,1
5287,3
5288,3
5289,4
5290,2
5291,4
5292,3
5293,3
5294,3
5295,3
5296,2
5297,2
5298,3
5299,3
5300,2
5301,3
5302,3
5303,3
5304,4
5305,3
5306,4
5307,2
5308,2
5309,3
5310,3
5311,3
5312,1
5313,2
5314,4
5315,4
5316,4
5317,4
5318,3
5319,2
5320,3
5321,1
5322,4
5323,1
5324,2
5325,4
5326,1
5327,3
5328,2
5329,1
5330,2
5331,3
5332,1
5333,2
5334,2
5335,2
5336,2
5337,2
5338,3
5339,2
5340,3
5341,4
5342,3
5343,4
5344,1
5345,1
5346,3
5347,4
5348,4
5349,4
5350,4
5351,2
5352,3
5353,3
5354,1
5355,3
5356,2
5357,4
5358,3
5359,4
5360,3
5361,4
5362,4
5363,3
5364,2
5365,3
5366,4
5367,3
5368,3
5369,3
5370,3
5371,3
5372,1
5373,1
5374,4
5375,3
5376,4
5377,3
5378,2
5379,2
5380,3
5381,3
5382,1
5383,2
5384,2
5385,3
5386,2
5387,3
5388,2
5389,2
5390,2
5391,3
5392,3
5393,4
5394,3
5395,3
5396,4
5397,4
5398,2
5399,4
5400,2
5401,2
5402,3
5403,3
5404,3
5405,4
5406,1
5407,3
5408,3
5409,3
5410,3
5411,3
5412,2
5413,1
5414,2
5415,1
5416,3
5417,3
5418,2
5419,3
5420,3
5421,4
5422,4
5423,4
5424,3
5425,1
5426,3
5427,1
5428,3
5429,1
5430,1
5431,3
5432,4
5433,4
5434,3
5435,3
5436,3
5437,3
5438,3
5439,3
5440,4
5441,3
5442,3
5443,3
5444,3
5445,1
5446,4
5447,2
5448,2
5449,2
5450,4
5451,2
5452,1
5453,4
5454,1
5455,4
5456,2
5457,4
5458,4
5459,4
5460,3
5461,4
5462,3
5463,3
5464,4
5465,3
5466,2
5467,4
5468,2
5469,1
5470,3
5471,3
5472,2
5473,2
5474,1
5475,3
5476,3
5477,2
5478,3
5479,3
5480,3
5481,2
5482,1
5483,3
5484,3
5485,2
5486,4
5487,2
5488,4
5489,3
5490,2
5491,2
5492,3
5493,1
5494,2
5495,4
5496,3
5497,4
5498,3
5499,3
5500,2
5501,2
5502,4
5503,4
5504,3
5505,3
5506,3
5507,3
5508,4
5509,1
5510,2
5511,4
5512,2
5513,1
5514,3
5515,3
5516,3
5517,3
5518,2
5519,4
5520,2
5521,3
5522,3
5523,3
5524,1
5525,3
5526,4
5527,2
5528,1
5529,1
5530,4
5531,4
5532,2
5533,4
5534,4
5535,2
5536,3
5537,3
5538,2
5539,2
5540,2
5541,3
5542,3
5543,2
5544,3
5545,1
5546,1
5547,1
5548,1
5549,1
5550,4
5551,4
5552,3
5553,2
5554,1
5555,3
5556,1
5557,4
5558,3
5559,3
5560,1
5561,3
5562,3
5563,3
5564,3
5565,3
5566,2
5567,3
5568,2
5569,3
5570,3
5571,2
5572,2
5573,3
5574,3
5575,1
5576,2
5577,3
5578,3
5579,1
5580,2
5581,3
5582,2
5583,4
5584,4
5585,4
5586,1
5587,3
5588,2
5589,3
5590,3
5591,3
5592,4
5593,1
5594,1
5595,1
5596,4
5597,2
5598,3
5599,4
5600,3
5601,4
5602,4
5603,2
5604,3
5605,3
5606,2
5607,3
5608,3
5609,2
5610,2
5611,2
5612,3
5613,3
5614,3
5615,3
5616,2
5617,2
5618,3
5619,1
5620,3
5621,1
5622,1
5623,2
5624,1
5625,3
5626,4
5627,1
5628,1
5629,3
5630,3
5631,3
5632,3
5633,3
5634,3
5635,3
5636,3
5637,3
5638,3
5639,3
5640,1
5641,4
5642,1
5643,1
5644,2
5645,2
5646,3
5647,1
5648,2
5649,2
5650,3
5651,3
5652,4
5653,3
5654,3
5655,1
5656,1
5657,2
5658,2
5659,1
5660,3
5661,4
5662,2
5663,4
5664,4
5665,3
5666,1
5667,3
5668,2
5669,4
5670,4
5671,2
5672,4
5673,3
5674,2
5675,2
5676,1
5677,3
5678,3
5679,2
5680,3
5681,3
5682,1
5683,3
5684,3
5685,3
5686,1
5687,4
5688,3
5689,2
5690,1
5691,3
5692,3
5693,4
5694,3
5695,2
5696,1
5697,3
5698,3
5699,2
5700,3
5701,3
5702,1
5703,3
5704,1
5705,4
5706,4
5707,2
5708,2
5709,4
5710,3
5711,2
5712,3
5713,3
5714,1
5715,2
5716,3
5717,4
5718,3
5719,3
5720,2
5721,3
5722,4
5723,2
5724,1
5725,3
5726,3
5727,3
5728,3
5729,1
5730,3
5731,3
5732,3
5733,4
5734,1
5735,1
5736,2
5737,2
5738,2
5739,4
5740,2
5741,3
5742,3
5743,3
5744,2
5745,3
5746,1
5747,4
5748,3
5749,3
5750,4
5751,2
5752,1
5753,1
5754,4
5755,3
5756,3
5757,2
5758,2
5759,3
5760,3
5761,4
5762,4
5763,3
5764,3
5765,3
5766,3
5767,3
5768,3
5769,4
5770,3
5771,3
5772,3
5773,3
5774,3
5775,4
5776,2
5777,4
5778,3
5779,3
5780,2
5781,4
5782,3
5783,4
5784,4
5785,3
5786,1
5787,3
5788,3
5789,3
5790,1
5791,4
5792,4
5793,4
5794,3
5795,1
5796,1
5797,2
5798,4
5799,3
5800,4
5801,3
5802,3
5803,3
5804,1
5805,3
5806,4
5807,4
5808,1
5809,4
5810,1
5811,4
5812,2
5813,2
5814,4
5815,2
5816,2
5817,3
5818,3
5819,1
5820,3
5821,1
5822,3
5823,2
5824,3
5825,2
5826,3
5827,1
5828,1
5829,4
5830,2
5831,2
5832,3
5833,3
5834,3
5835,2
5836,4
5837,3
5838,2
5839,3
5840,3
5841,3
5842,3
5843,3
5844,3
5845,3
5846,1
5847,2
5848,1
5849,2
5850,2
5851,2
5852,3
5853,2
5854,1
5855,1
5856,2
5857,3
5858,4
5859,2
5860,1
5861,1
5862,3
5863,3
5864,4
5865,4
5866,3
5867,3
5868,3
5869,3
5870,3
5871,3
5872,2
5873,1
5874,1
5875,1
5876,2
5877,4
5878,4
5879,2
5880,3
